ID_src,ID_dst,dist
AL0119,AL0117,7.721713795247885
AL0203,AL0117,13.457707767777201
AL0117,AL0248,10.329264652357347
AL0117,AL0249,19.053996228992283
AL0249,AL0117,19.053996228992283
AL0117,AL0251,9.41306186357236
AL0251,AL0117,9.41306186357236
AL0119,AL0118,9.005037342737792
AL0248,AL0118,12.998999639241209
AL0249,AL0118,13.550671133816948
AL0118,AL0251,16.06542096478967
AL8008,AL0118,16.95768341740744
AL0203,AL0119,17.291201362341432
AL0119,AL0248,4.030127573590293
AL0249,AL0119,14.086099329182119
AL0119,AL0251,10.408531342686658
AL0123,AL0125,7.6951284922603715
AL0123,AL0126,13.2520771813748
AL0126,AL0123,13.2520771813748
AL0123,AL0127,1.037740098596943
AL8008,AL0123,12.302631970902548
AL0124,AL0126,18.171340142172063
AL0126,AL0124,18.171340142172063
AL0125,AL0127,8.025904154537946
AL0125,AL0218,18.741937163131624
AL8008,AL0125,4.70289460801365
AL0126,AL0127,13.098681413983044
AL0127,AL0218,19.967784147959478
AL0218,AL0127,19.967784147959478
AL8008,AL0127,12.514243192376409
AL0128,AL0130,17.9775562929487
AL0136,AL0128,12.792805535379896
AL0240,AL0128,17.343847239140743
AL0129,AL0130,17.231740310125605
AL0130,AL0129,17.231740310125605
AL0129,AL0132,5.270105642514549
AL0129,AL0134,16.813441814131302
AL0134,AL0129,16.813441814131302
AL0135,AL0129,5.071798047558406
AL0129,AL0137,16.856057137788714
AL0130,AL0131,17.9775562929487
AL0130,AL0134,7.0474537196721325
AL0136,AL0131,12.792805535379896
AL0131,AL0240,17.343847239140743
AL0240,AL0131,17.343847239140743
AL0132,AL0135,2.951012412846578
AL0135,AL0132,2.951012412846578
AL0132,AL0137,14.352553232855625
AL0133,AL0136,19.830132679737375
AL0135,AL0137,12.227468303149127
AL0240,AL0135,17.70121687376733
AL0136,AL0240,17.886567076090117
AL0240,AL0136,17.886567076090117
AL0137,AL0240,8.469366300660555
AL0240,AL0137,8.469366300660555
AL0137,AL0254,19.238225718904843
AL0140,AL0141,15.0486178576008
AL0140,AL0256,15.470331546574494
AL0256,AL0140,15.470331546574494
AL0141,AL0142,19.035565989608653
AL0142,AL0141,19.035565989608653
AL0141,AL0143,15.16861663676696
AL0256,AL0141,0.4333137213339532
AL0142,AL0143,12.337398283117635
AL0143,AL0142,12.337398283117635
AL0142,AL0256,18.844070658483453
AL0256,AL0143,14.770281611475385
AL0145,AL0144,0.12569772660125542
AL0144,AL0204,14.430035967889514
AL0204,AL0144,14.430035967889514
AL0249,AL0144,12.884403835134465
AL0204,AL0145,14.437211153375856
AL0249,AL0145,12.996954907085657
AL0146,AL0147,13.184413690875862
AL0146,AL0148,18.468755588586927
AL0244,AL0146,16.26482737823901
AL0148,AL0147,14.748511500822024
AL0147,AL0226,12.398358064275074
AL0147,AL0244,17.208653418996864
AL0151,AL0152,14.79927409100554
AL0155,AL0154,18.3786012048403
AL0154,AL0246,4.31504873536133
AL0246,AL0154,4.31504873536133
AL0154,AL0247,18.275395753386068
AL0247,AL0154,18.275395753386068
AL0156,AL0155,18.37495115816704
AL0167,AL0157,14.725754415399363
AL0159,AL0176,18.278180690612118
AL0176,AL0159,18.278180690612118
AL0229,AL0161,19.150532857969086
AL0168,AL0242,17.454918689718927
AL0181,AL0170,3.6736003265213504
AL0170,AL0186,9.043386120889544
AL0186,AL0170,9.043386120889544
AL0223,AL0170,9.091682200080824
AL0173,AL0210,11.55401417340243
AL0210,AL0173,11.55401417340243
AL0175,AL0241,12.27141334504214
AL0219,AL0176,19.72311097069777
AL0226,AL0176,18.78627561626839
AL0181,AL0186,5.9292030065189305
AL0181,AL0223,12.761799303435726
AL0223,AL0181,12.761799303435726
AL0186,AL0223,17.590587221734648
AL0187,AL0192,18.022921283928007
AL0192,AL0187,18.022921283928007
AL0188,AL0206,12.272107675805053
AL0189,AL0227,13.811212876488803
AL0227,AL0189,13.811212876488803
TN0013,AL0189,19.832331527529355
AL0190,AL0191,19.754323739443738
AL0194,GA0036,6.397226272379727
AL0199,AL0217,18.37153942953053
AL0217,AL0199,18.37153942953053
AL0203,AL0248,16.45165832624115
AL0203,AL0251,7.438926432830435
AL0204,AL0238,9.783475964282891
AL0216,AL0253,9.216866566770836
AL0217,AL0225,12.941137232494471
AL0239,AL0217,15.71294893844804
AL0218,AL8008,17.808445385570103
AL0249,AL0219,15.733826182052695
AL0239,AL0225,15.44038248790404
AL0225,AL8007,17.733517623646822
AL0226,AL0244,12.071506741564972
TN0013,AL0227,7.387769325596364
AL0227,TN0014,16.483487706612525
TN0014,AL0227,16.483487706612525
AL0229,AL8009,11.577653624535637
AL8009,AL0229,11.577653624535637
AL0238,AL0248,17.368053534937726
AL0239,AL8007,10.344825610779058
AL0243,AL0252,11.279466044023327
AL0252,AL0243,11.279466044023327
AL0250,AL0244,9.860793532877995
AL0246,AL0247,14.31529809451724
AL0247,AL0246,14.31529809451724
AL0249,AL0248,16.54972043480072
AL0251,AL0248,9.039507342676352
AR0016,AR0001,3.6939106870476577
AR0002,AR0066,3.246489410891781
AR0066,AR0002,3.246489410891781
AR0048,AR0011,8.456223276867036
AR0012,AR0021,5.7874882765263775
AR0021,AR0012,5.7874882765263775
TX0304,AR0028,1.0490337628631266
AR0044,AR0038,12.297022852443053
AR0047,AR0038,7.302191626613395
AR0068,AR0038,12.76022679092407
AR0040,MO0124,18.66535098874478
AR0047,AR0044,18.52800928111452
AR0044,AR0068,11.556213668801943
AR0068,AR0044,11.556213668801943
AR0044,AR0069,19.631340812354715
AR0044,AR0080,19.6395303300354
AR0080,AR0044,19.6395303300354
AR0044,MO0106,17.94004696673407
MO0106,AR0044,17.94004696673407
AR0047,AR0068,14.2182686058865
AR0077,AR0069,17.17686079695138
AR0069,AR0078,9.337057476439124
AR0080,AR0069,6.577788192303912
AR0077,AR0078,7.901195806081893
AR0078,AR0077,7.901195806081893
AR0077,AR0079,10.540781823225569
AR0079,AR0077,10.540781823225569
AR0078,AR0079,18.2813238814499
AR0079,AR0078,18.2813238814499
AR0078,AR0080,15.784927355551554
MO0106,AR0080,17.702342107495117
AZ0111,AZ0009,0.2481765763804587
AZ0172,AZ0025,3.5547607400678536
AZ0106,AZ0026,13.005746809634129
AZ0177,AZ0027,0.5256982716866522
AZ0033,AZ0028,15.371759451824238
AZ0028,AZ0035,1.643190328262998
AZ0028,AZ0036,14.202757054938575
AZ0038,AZ0028,16.81147157847734
AZ0028,AZ0039,18.09873689981187
AZ0088,AZ0028,19.023209662963502
AZ0123,AZ0028,19.355119690130838
AZ0029,AZ0033,18.153656652223866
AZ0033,AZ0029,18.153656652223866
AZ0039,AZ0029,3.3790785132596866
AZ0029,AZ0088,15.700273596683065
AZ0029,AZ0092,17.601380383660782
AZ0034,AZ0031,12.76640971576314
AZ0038,AZ0031,12.76754514048845
AZ0031,AZ0123,18.652446221287146
AZ0033,AZ0035,16.6117799765079
